year,month,units
2012,Jan,1317
2012,Feb,1566
2012,Mar,3815
2012,Apr,3565
2012,May,3361
2012,Jun,3124
2012,Jul,3029
2012,Aug,4686
2012,Sep,5145
2012,Oct,1084
2012,Nov,6155
2012,Dec,8554
2013,Jan,4577
2013,Feb,5404
2013,Mar,7982
2013,Apr,7138
2013,May,7454
2013,Jun,8292
2013,Jul,7392
2013,Aug,11273
2013,Sep,8927
2013,Oct,10055
2013,Nov,9003
2013,Dec,10010
2014,Jan,14512
2014,Feb,18528
2014,Mar,24267
2014,Apr,23153
2014,May,25016
2014,Jun,31162
2014,Jul,27304
2014,Aug,29804
2014,Sep,33611
2014,Oct,29020
2014,Nov,26825
2014,Dec,37511
2015,Jan,24455
2015,Feb,25830
2015,Mar,42422
2015,Apr,36094
2015,May,38787
2015,Jun,43762
2015,Jul,40020
2015,Aug,41750
2015,Sep,50033
2015,Oct,55205
2015,Nov,63765
2015,Dec,88174
2016,Jan,36702
2016,Feb,37019
2016,Mar,59510
2016,Apr,51772
2016,May,56177
2016,Jun,69170
2016,Jul,65122
2016,Aug,65707
2016,Sep,79421
2016,Oct,70069
2016,Nov,82252
2016,Dec,104576
2017,Jan,41372
2017,Feb,53561
2017,Mar,94650
2017,Apr,71762
2017,May,91417
2017,Jun,102130
2017,Jul,92835
2017,Aug,105801
